id,市区町村,都道府県,面積(km2),経度,緯度
6006,Mogami,山形県,330.15,140.52691,38.76806
6007,Sakegawa,山形県,122.3,140.19697,38.82614
6008,最上郡戸沢村,山形県,261.58,140.12203,38.71926
6009,東田川郡庄内町,山形県,249.2,140.00114,38.70529
6010,東田川郡三川町,山形県,33.01,139.85026,38.79516
6011,鶴岡市,山形県,1312.88,139.8084,38.58513
6012,尾花沢市,山形県,372.15,140.47681,38.59355
6013,最上郡舟形町,山形県,119.04,140.32571,38.67967
6014,Ohkura,山形県,210.88,140.17184,38.59391
6015,北村山郡大石田町,山形県,79.57,140.33606,38.59766
6016,村山市,山形県,196.97,140.33516,38.51668
6017,西村山郡西川町,山形県,392.58,140.0235,38.4249
6018,寒河江市,山形県,139.11,140.23165,38.43423
6019,東根市,山形県,206.78,140.46663,38.42551
6020,西村山郡河北町,山形県,52.46,140.30107,38.43019
6021,西村山郡大江町,山形県,153.82,140.08481,38.3546
6022,西村山郡朝日町,山形県,196.32,140.06532,38.28049
6023,Oguni,山形県,737.72,139.77481,38.04073
6024,天童市,山形県,112.81,140.39653,38.35805
6025,東村山郡中山町,山形県,31.28,140.25993,38.33103
6026,Yamanobe,山形県,61.49,140.21498,38.2802
6027,長井市,山形県,214.61,139.98173,38.13748
6028,西置賜郡白鷹町,山形県,157.89,140.08258,38.20055
6029,山形市,山形県,382.03,140.36897,38.24614
6030,西置賜郡飯豊町,山形県,329.62,139.89721,37.93833
6031,南陽市,山形県,160.28,140.15607,38.10322
6032,東置賜郡川西町,山形県,166.47,140.02369,37.97175
6033,米沢市,山形県,547.59,140.11647,37.84726
6034,Kaminoyama,山形県,241.35,140.3056,38.1258
6035,東置賜郡高畠町,山形県,180.32,140.21593,37.99042
7001,喜多方市,福島県,554.12,139.84381,37.703
7002,福島市,福島県,767.78,140.38848,37.78646
7003,耶麻郡北塩原村,福島県,234.02,140.04835,37.68976
7004,耶麻郡猪苗代町,福島県,394.76,140.15603,37.59455
7005,耶麻郡西会津町,福島県,298.43,139.64795,37.63558
7006,河沼郡会津坂下町,福島県,91.71,139.80076,37.56871
7007,Yugawa,福島県,16.29,139.88231,37.56735
7008,会津若松市,福島県,379.91,139.96824,37.45066
7009,耶麻郡磐梯町,福島県,60.1,140.00562,37.57826
7010,Yanaizu,福島県,175.88,139.70879,37.45663
7011,Kaneyama,福島県,294.03,139.48691,37.43354
7012,二本松市,福島県,344.21,140.49533,37.58397
7013,Koriyama,福島県,756.2,140.29514,37.41275
7014,Koori,福島県,42.87,140.50596,37.85876
7015,伊達市,福島県,264.88,140.61434,37.79952
7016,伊達郡川俣町,福島県,127.91,140.62843,37.64373
7017,伊達郡国見町,福島県,37.97,140.55115,37.88873
7018,相馬市,福島県,191.01,140.87296,37.7819
7019,相馬郡新地町,福島県,46.19,140.90042,37.86703
7020,相馬郡飯舘村,福島県,229.67,140.74829,37.67815
7021,南相馬市,福島県,398.43,140.92852,37.63115
7022,双葉郡浪江町,福島県,223.32,140.86442,37.51697
7023,大沼郡三島町,福島県,90.62,139.63802,37.44183
7024,大沼郡昭和村,福島県,209.3,139.63671,37.309
7025,大沼郡会津美里町,福島県,278.11,139.81325,37.4086
7026,南会津郡下郷町,福島県,317.55,139.87966,37.2566
7027,岩瀬郡天栄村,福島県,225.45,140.08773,37.26137
7028,南会津郡南会津町,福島県,886.44,139.60617,37.13674
7029,南会津郡只見町,福島県,747.4,139.3478,37.29148
7030,Hinoemata,福島県,389.78,139.33248,37.03235
7031,Nishigo,福島県,191.97,140.09354,37.16589
7032,双葉郡葛尾村,福島県,84.28,140.77707,37.50901
7033,田村市,福島県,457.92,140.67155,37.42359
7034,双葉郡大熊町,福島県,78.92,140.94837,37.40116
7035,双葉郡双葉町,福島県,51.35,140.97609,37.44359
7036,双葉郡川内村,福島県,197.27,140.81032,37.33224
7037,双葉郡富岡町,福島県,68.37,140.97433,37.34924
7038,双葉郡楢葉町,福島県,103.59,140.94909,37.28169
7039,いわき市,福島県,1231.78,140.78599,37.07762
7040,Hirono,福島県,58.77,140.9524,37.21991
7041,安達郡大玉村,福島県,79.47,140.33452,37.55841
7042,本宮市,福島県,87.86,140.41866,37.50471
7043,田村郡三春町,福島県,72.95,140.49631,37.4408
7044,須賀川市,福島県,279.15,140.317,37.29339
7045,田村郡小野町,福島県,125.1,140.61245,37.28641
7046,石川郡平田村,福島県,93.25,140.55728,37.21108
7047,岩瀬郡鏡石町,福島県,31.29,140.35161,37.24463
7048,Tamakawa,福島県,46.62,140.44993,37.21662
7049,白河市,福島県,305.68,140.24965,37.1223
7050,西白河郡矢吹町,福島県,60.24,140.34696,37.19385
7051,石川郡石川町,福島県,115.69,140.4613,37.14563
7052,石川郡古殿町,福島県,163.51,140.58355,37.08997
7053,Izumizaki,福島県,35.23,140.29501,37.15852
7054,西白河郡中島村,福島県,18.82,140.36535,37.14842
7055,石川郡浅川町,福島県,37.46,140.42579,37.08122
7056,Samegawa,福島県,131.15,140.51058,37.01241
7057,Tanagura,福島県,159.9,140.34308,37.00243
7058,東白川郡塙町,福島県,210.92,140.45881,36.92643
7059,東白川郡矢祭町,福島県,118.34,140.42873,36.86323
8001,かすみがうら市,茨城県,158.66,140.30205,36.10933
8002,つくばみらい市,茨城県,79.1,140.03812,35.98189
8003,つくば市,茨城県,283.78,140.0817,36.10528
8004,ひたちなか市,茨城県,99.43,140.55816,36.39618
8005,Shimotsuma,茨城県,81.13,139.96651,36.18752
8006,猿島郡五霞町,茨城県,22.9,139.74845,36.10789
8007,結城郡八千代町,茨城県,58.87,139.89375,36.17836
8008,北相馬郡利根町,茨城県,24.99,140.16802,35.86612
8009,北茨城市,茨城県,186.17,140.68745,36.83978
8010,取手市,茨城県,69.69,140.08015,35.91282
8011,古河市,茨城県,123.74,139.77545,36.1797
8012,土浦市,茨城県,123.97,140.19518,36.09797
8013,坂東市,茨城県,122.73,139.8879,36.06389
8014,東茨城郡城里町,茨城県,161.81,140.30941,36.47983
8015,猿島郡境町,茨城県,46.71,139.81074,36.11028
8016,Daigo,茨城県,325.57,140.34563,36.79804
8017,東茨城郡大洗町,茨城県,23.76,140.55441,36.2972
8018,守谷市,茨城県,35.76,139.97541,35.94799
8019,小美玉市,茨城県,144.33,140.35982,36.20403
8020,常総市,茨城県,123.55,139.96389,36.06408
8021,常陸大宮市,茨城県,348.53,140.33984,36.61379
8022,常陸太田市,茨城県,372.21,140.50539,36.64833
8023,日立市,茨城県,225.83,140.6189,36.62497
8024,那珂郡東海村,茨城県,37.72,140.58068,36.46076
8025,桜川市,茨城県,179.79,140.10799,36.32758
8026,水戸市,茨城県,217.08,140.4357,36.37047
8027,Kawachi,茨城県,43.96,140.27964,35.88277
8028,潮来市,茨城県,72.01,140.56207,35.96095
8029,牛久市,茨城県,58.9,140.18593,35.97159
8030,石岡市,茨城県,215.98,140.21796,36.22768
8031,神栖市,茨城県,147.54,140.71245,35.84984
8032,稲敷市,茨城県,194.29,140.36903,35.94558
8033,笠間市,茨城県,240.38,140.26933,36.35653
8034,筑西市,茨城県,205.08,139.98697,36.28945
8035,結城市,茨城県,65.72,139.8641,36.26129
8036,Miho,茨城県,82.64,140.34505,36.01882
8037,東茨城郡茨城町,茨城県,121.68,140.43391,36.28046
8038,Namekata,茨城県,217.71,140.47171,36.06527
8039,那珂市,茨城県,98.11,140.47586,36.46828
8040,鉾田市,茨城県,208.59,140.52001,36.17335
8041,稲敷郡阿見町,茨城県,70.54,140.22504,36.01369
8042,高萩市,茨城県,193.92,140.62098,36.76921
8043,鹿嶋市,茨城県,103.69,140.62234,36.00012
8044,龍ヶ崎市,茨城県,78.62,140.18526,35.92252
9001,小山市,栃木県,171.97,139.80192,36.30805
9002,下野市,栃木県,74.54,139.8612,36.40199
9003,真岡市,栃木県,167.58,139.99683,36.42488
9004,河内郡上三川町,栃木県,54.45,139.91061,36.44553
9005,塩谷郡高根沢町,栃木県,70.74,140.01689,36.6302
9006,日光市,栃木県,1449.66,139.58121,36.81881
9007,那須塩原市,栃木県,592.89,139.91039,36.99085
9008,那須郡那須町,栃木県,372.14,140.09257,37.04283
9009,さくら市,栃木県,125.44,140.00304,36.72367
9010,宇都宮市,栃木県,417.08,139.88667,36.59687
9011,芳賀郡益子町,栃木県,89.56,140.10995,36.46043
9012,塩谷郡塩谷町,栃木県,175.47,139.81509,36.79651
9013,佐野市,栃木県,355.66,139.53549,36.42388
9014,芳賀郡市貝町,栃木県,64.22,140.10431,36.55893
9015,鹿沼市,栃木県,490.12,139.64147,36.5755
9016,下都賀郡壬生町,栃木県,61.08,139.80494,36.45755
9017,足利市,栃木県,177.61,139.45305,36.35935
9018,大田原市,栃木県,354.1,140.1192,36.86138
9019,栃木市,栃木県,331.24,139.68944,36.37306
9020,那須郡那珂川町,栃木県,192.83,140.18345,36.75419
9021,那須烏山市,栃木県,173.89,140.13405,36.66273
9022,芳賀郡芳賀町,栃木県,70.04,140.04077,36.55229
